MIN_ADX,MIN_VOLUME_FACTOR,BREAKOUT_BUFFER,TRADE_COOLDOWN_CANDLES,BREAKOUT_LOOKBACK,RR_RATIO,train_final,train_pf,train_dd,train_trades,test_final,test_pf,test_dd,test_trades,elapsed_s,idx,score
26,1.6,1.4,24,50,2.5,316.93,1.137,-5.56,171,313.45,1.294,-3.14,69,2.08,57,160.515
26,1.4,1.4,24,50,2.5,315.86,1.127,-5.56,172,313.45,1.294,-3.14,69,2.29,41,160.265
28,1.6,1.2,28,60,2.5,330.94,1.24,-6.96,178,311.88,1.235,-2.46,77,2.23,87,156.876
28,1.4,1.2,28,60,2.5,329.82,1.23,-6.96,179,311.88,1.235,-2.46,77,2.17,71,156.626
28,1.6,1.2,24,60,2.5,329.79,1.23,-6.96,179,311.88,1.235,-2.46,77,2.14,83,156.626
28,1.4,1.2,24,60,2.5,328.67,1.22,-6.96,180,311.88,1.235,-2.46,77,2.28,67,156.376
28,1.6,1.2,28,60,2.8,336.63,1.27,-7.32,178,311.01,1.208,-2.46,76,2.2,88,154.752
28,1.4,1.2,28,60,2.8,335.49,1.26,-7.32,179,311.01,1.208,-2.46,76,2.17,72,154.502
28,1.6,1.2,24,60,2.8,335.45,1.259,-7.32,179,311.01,1.208,-2.46,76,2.43,84,154.477
28,1.4,1.2,24,60,2.8,334.32,1.25,-7.32,180,311.01,1.208,-2.46,76,2.21,68,154.252
28,1.6,1.2,28,50,2.5,321.9,1.157,-7.85,188,310.67,1.207,-2.46,78,2.26,85,151.759
28,1.4,1.2,28,50,2.5,320.81,1.148,-7.85,189,310.67,1.207,-2.46,78,2.04,69,151.534
28,1.6,1.2,24,50,2.5,320.78,1.148,-7.85,189,310.67,1.207,-2.46,78,2.02,81,151.534
28,1.4,1.2,24,50,2.5,319.69,1.14,-7.85,190,310.67,1.207,-2.46,78,2.2,65,151.334
24,1.6,1.2,28,50,2.8,345.47,1.279,-4.85,211,310.92,1.165,-3.85,91,2.15,22,150.659
24,1.6,1.2,28,50,2.5,341.64,1.27,-3.48,212,310.39,1.164,-3.47,92,2.09,21,150.228
24,1.6,1.2,24,50,2.8,343.07,1.261,-5.18,213,310.92,1.165,-3.85,91,2.09,18,150.209
24,1.4,1.2,28,50,2.8,343.04,1.261,-4.85,213,310.89,1.165,-3.85,91,2.1,6,150.203
24,1.6,1.2,24,50,2.5,340.45,1.261,-3.81,213,310.39,1.164,-3.47,92,2.13,17,150.003
28,1.6,1.2,28,50,2.8,327.72,1.189,-7.77,188,309.81,1.181,-2.46,77,2.17,86,149.787
24,1.4,1.2,24,50,2.8,340.66,1.244,-5.18,215,310.89,1.165,-3.85,91,2.25,2,149.778
24,1.4,1.2,28,50,2.5,339.24,1.252,-4.12,214,310.36,1.164,-3.47,92,2.11,5,149.772
28,1.4,1.2,28,50,2.8,326.62,1.18,-7.77,189,309.81,1.181,-2.46,77,2.12,70,149.562
28,1.6,1.2,24,50,2.8,326.58,1.18,-7.77,189,309.81,1.181,-2.46,77,2.11,82,149.562
24,1.4,1.2,24,50,2.5,338.05,1.243,-4.44,215,310.36,1.164,-3.47,92,2.58,1,149.547
28,1.4,1.2,24,50,2.8,325.48,1.172,-7.77,190,309.81,1.181,-2.46,77,2.3,66,149.362
24,1.6,1.2,28,60,2.5,351.24,1.357,-2.99,202,307.33,1.119,-2.54,89,2.19,23,147.291
24,1.6,1.2,24,60,2.5,350.01,1.346,-3.07,203,307.33,1.119,-2.54,89,2.1,19,147.016
24,1.6,1.2,28,60,2.8,354.86,1.361,-4.85,201,307.3,1.114,-3.12,88,2.21,24,146.885
24,1.4,1.2,28,60,2.5,348.77,1.336,-3.42,204,307.3,1.119,-2.54,89,2.04,7,146.76
24,1.4,1.2,24,60,2.5,347.55,1.326,-3.75,205,307.3,1.119,-2.54,89,2.22,3,146.51
24,1.6,1.2,24,60,2.8,352.39,1.34,-5.18,203,307.3,1.114,-3.12,88,2.06,20,146.36
24,1.4,1.2,28,60,2.8,352.36,1.341,-4.85,203,307.27,1.113,-3.12,88,2.02,8,146.279
24,1.4,1.2,24,60,2.8,349.92,1.321,-5.18,205,307.27,1.113,-3.12,88,2.16,4,145.779
26,1.6,1.2,28,60,2.5,343.93,1.326,-3.79,190,304.1,1.069,-2.54,86,2.01,55,140.87
26,1.6,1.2,24,60,2.5,342.73,1.315,-3.79,191,304.1,1.069,-2.54,86,2.07,51,140.595
26,1.4,1.2,28,60,2.5,341.52,1.304,-3.79,192,304.07,1.068,-2.54,86,2.16,39,140.214
26,1.4,1.2,24,60,2.5,340.32,1.294,-3.79,193,304.07,1.068,-2.54,86,2.22,35,139.964
26,1.6,1.2,28,50,2.5,334.54,1.237,-4.16,200,304.92,1.08,-3.47,88,2.09,53,139.909
26,1.6,1.2,24,50,2.5,333.37,1.228,-4.16,201,304.92,1.08,-3.47,88,2.12,49,139.684
26,1.4,1.2,28,50,2.5,332.18,1.219,-4.16,202,304.89,1.08,-3.47,88,2.21,37,139.453
26,1.6,1.2,28,60,2.8,345.63,1.319,-4.95,189,303.52,1.057,-3.12,85,2.03,56,139.379
26,1.4,1.2,24,50,2.5,331.03,1.21,-4.16,203,304.89,1.08,-3.47,88,2.17,33,139.228
26,1.6,1.2,28,50,2.8,336.48,1.238,-5.29,199,304.62,1.072,-3.85,87,2.02,54,139.074
26,1.6,1.2,24,60,2.8,343.22,1.299,-5.28,191,303.52,1.057,-3.12,85,2.07,52,138.879
26,1.4,1.2,28,60,2.8,343.19,1.299,-4.95,191,303.5,1.056,-3.12,85,2.26,40,138.775
26,1.6,1.2,24,50,2.8,334.14,1.22,-5.61,201,304.62,1.072,-3.85,87,2.03,50,138.624
26,1.4,1.2,28,50,2.8,334.12,1.22,-5.29,201,304.59,1.072,-3.85,87,2.18,38,138.618
26,1.4,1.2,24,60,2.8,340.81,1.279,-5.28,193,303.5,1.056,-3.12,85,2.23,36,138.275
26,1.4,1.2,24,50,2.8,331.79,1.202,-5.61,203,304.59,1.072,-3.85,87,2.22,34,138.168
